proteinID,LFQ.intensity.B1,LFQ.intensity.B2,LFQ.intensity.B3,LFQ.intensity.D1,LFQ.intensity.D2,LFQ.intensity.D3,impute_LFQ.intensity.B1,impute_LFQ.intensity.B2,impute_LFQ.intensity.B3,impute_LFQ.intensity.D1,impute_LFQ.intensity.D2,impute_LFQ.intensity.D3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A432,19.12613475875209,18.667749123837986,18.555734986326723,18.57385425238375,18.389908573013194,18.439002966403518,19.12613475875209,18.667749123837986,18.555734986326723,18.57385425238375,18.389908573013194,18.439002966403518,0.15957824980906174,0.797026302406405,-0.31561769237211124,-1.725188330654468,0.15957824980906174,12,Cul4b
A2A6T1,NA,NA,NA,18.273486021679958,17.7503537003894,18.42828655725935,16.37955808153096,16.79879065325814,16.27130823560658,18.273486021679958,17.7503537003894,18.42828655725935,0.003065708136167843,2.5134691935407716,1.6674897696443445,6.3973144104071595,0.003065708136167843,7,Cdr2l
A2AG50,NA,NA,NA,19.566849335339246,19.158446973520444,19.764839202283433,17.529325776356774,16.874276820100075,16.279153790442567,19.566849335339246,19.158446973520444,19.764839202283433,0.0029543088652547772,2.5295441022997482,2.6024597080812377,6.461549599072296,0.0029543088652547772,7,Map7d2
A2AGT5,19.296768367502114,18.766069452606036,18.540075050782274,19.275942602609906,19.242397261970872,19.308103456524346,19.296768367502114,18.766069452606036,18.540075050782274,19.275942602609906,19.242397261970872,19.308103456524346,0.14419242752293132,0.8410575466301737,0.40784348340489984,1.8121142820207086,0.14419242752293132,29,Ckap5
A2AN08,19.47591546601611,19.36018266751028,19.146439403328078,19.22043501252465,19.1665848272317,19.27075157233805,19.47591546601611,19.36018266751028,19.146439403328078,19.22043501252465,19.1665848272317,19.27075157233805,0.34450454794606733,0.46280504041863807,-0.10825537492002368,-1.070963639054917,0.34450454794606733,122,Ubr4
A2AR02,20.705058596819732,19.667922331075403,21.3593356284926,NA,19.199356030557787,19.242257686843455,20.705058596819732,19.667922331075403,21.3593356284926,16.36801586511418,19.199356030557787,19.242257686843455,0.09746435590963667,1.011154182886543,-2.3075623246241044,-2.154718966214359,0.09746435590963667,9,Ppig
B2RQC6,20.630231569210057,20.61737419447844,20.322566353281548,20.319261965577486,20.413487447158964,20.494629052088047,20.630231569210057,20.61737419447844,20.322566353281548,20.319261965577486,20.413487447158964,20.494629052088047,0.36735007086360216,0.4349198720420943,-0.11426455071518049,-1.0153765642708905,0.36735007086360216,45,Cad
B9EJR8,18.378565810000563,17.963302519181877,17.879990003169915,17.900595616944408,18.1782077125099,17.828855470232234,18.378565810000563,17.963302519181877,17.879990003169915,17.900595616944408,18.1782077125099,17.828855470232234,0.6060789595803076,0.21747079253969911,-0.10473317755527134,-0.5588366277818952,0.6060789595803076,18,Dnaaf5
C0HKE6,23.36131842012439,23.65741876895133,23.2766810334598,22.459289522700587,22.62066640952936,22.13373550190398,23.36131842012439,23.65741876895133,23.2766810334598,22.459289522700587,22.62066640952936,22.13373550190398,0.005040752804168514,2.297504599609629,-1.0272422628005309,-5.5850302924315685,0.005040752804168514,0,H2ac13
E9PVA8,19.607655403706495,19.425584727041766,19.436280477805614,19.35285381725136,19.446271578865048,19.587378323679626,19.607655403706495,19.425584727041766,19.436280477805614,19.35285381725136,19.446271578865048,19.587378323679626,0.7741815922391134,0.11115715913953596,-0.027672296252610806,-0.30697218341898985,0.7741815922391134,49,Gcn1
E9PZJ8,NA,17.888992902565278,17.67796733587132,18.48981660806801,18.21380670913106,18.477299763585922,16.95600250674233,17.888992902565278,17.67796733587132,18.48981660806801,18.21380670913106,18.477299763585922,0.04039612352521332,1.393660308463248,0.8859867785353579,2.9885454740591335,0.04039612352521332,28,Ascc3
E9Q557,20.727003060591468,20.65674256869148,20.280140939483815,20.26407601528221,NA,20.588751229452598,20.727003060591468,20.65674256869148,20.280140939483815,20.26407601528221,16.77941804057688,20.588751229452598,0.33497428187600814,0.47498853525596274,-1.343880427818359,-1.0951317308665791,0.33497428187600814,43,Dsp
E9Q7G0,19.07929205883113,18.805649418878136,18.89225819591816,18.860662664135283,NA,18.852883020005294,19.07929205883113,18.805649418878136,18.89225819591816,18.860662664135283,16.261787902140508,18.852883020005294,0.34287784212476835,0.46486057949244336,-0.9339553624487813,-1.0750458738952327,0.34287784212476835,19,Numa1
E9QAT4,18.5803100998159,18.467581670531544,18.25114026255762,18.274896792458357,19.007799275439194,18.52232865741853,18.5803100998159,18.467581670531544,18.25114026255762,18.274896792458357,19.007799275439194,18.52232865741853,0.5141875914939473,0.288878408071864,0.168664230803671,0.7148823212487664,0.5141875914939473,23,Sec16a
F6ZDS4,19.338061702243504,18.93298171813437,19.192605865365103,19.066341505445017,19.200936908880017,18.729859686061808,19.338061702243504,18.93298171813437,19.192605865365103,19.066341505445017,19.200936908880017,18.729859686061808,0.4444137656135988,0.35221249735170035,-0.15550372845204308,-0.8475708595806439,0.4444137656135988,7,Tpr
G3X9C2,16.1331422124006,16.28212918044604,15.774014862911493,NA,NA,NA,16.1331422124006,16.28212918044604,15.774014862911493,17.496308280417946,16.8534942821441,16.269486918259272,0.10322870814080179,0.9861995076185451,0.8100010750210629,2.103636821601665,0.10322870814080179,2,Nccrp1
O08528,NA,NA,NA,19.842868988819493,19.904761025980523,20.06789122307339,17.085843269259676,17.001725618235294,16.545712333179484,19.842868988819493,19.904761025980523,20.06789122307339,7.125120505835719e-5,4.147207786115674,3.060746672399649,16.936870979614717,7.125120505835719e-5,26,Hk2
O08529,18.85984413093611,19.0733936990242,NA,18.48789497524558,18.90289323086469,18.399620063318135,18.85984413093611,19.0733936990242,17.48611396303467,18.48789497524558,18.90289323086469,18.399620063318135,0.8240021640240716,0.08407164774162343,0.1236854921444781,0.23741094367890445,0.8240021640240716,15,Capn2
O08547,20.747553796525217,19.73920375919316,NA,19.562868458095462,20.186283537301094,19.697086342704477,20.747553796525217,19.73920375919316,16.905500967053854,19.562868458095462,20.186283537301094,19.697086342704477,0.5884905370061468,0.23026051626838842,0.6846599384429339,0.5874032432194437,0.5884905370061468,3,Sec22b
O08553,20.907345475328594,21.17359174699613,21.166437721029556,20.95269290935978,20.954326966902332,21.075157904325867,20.907345475328594,21.17359174699613,21.166437721029556,20.95269290935978,20.954326966902332,21.075157904325867,0.41152975161440314,0.38559876192220915,-0.08839905425543293,-0.915923948036495,0.41152975161440314,7,Dpysl2
O08582,20.01481598307211,20.185799776699398,NA,20.04032718368511,20.16741814583174,20.090293365621655,20.01481598307211,20.185799776699398,16.382255975165737,20.04032718368511,20.16741814583174,20.090293365621655,0.37476502263151684,0.42624094923296924,1.238388986733753,0.9979894293487686,0.37476502263151684,12,Gtpbp1
O08585,NA,NA,NA,19.325116566900554,19.52148542437381,19.30605723797795,15.557626416276062,17.285915470397185,16.68050002930377,19.325116566900554,19.52148542437381,19.30605723797795,0.004899990391377057,2.3098047715992442,2.876205771091769,5.628875329648606,0.004899990391377057,1,Clta
O08599,19.148228299691752,19.359024565289506,19.195444301902036,19.620062279923324,19.462618093814488,NA,19.148228299691752,19.359024565289506,19.195444301902036,19.620062279923324,19.462618093814488,16.933693502203,0.5546026393855608,0.25601806792105464,-0.5621077636474929,-0.6440701542064065,0.5546026393855608,7,Stxbp1
O08663,NA,NA,NA,19.700307629418596,19.396027734937167,19.872750018680605,16.695374969984872,17.192197326415535,17.128742950269327,19.700307629418596,19.396027734937167,19.872750018680605,2.236243422732859e-4,3.6504809237750573,2.650923378788878,12.667778991919906,2.236243422732859e-4,15,Metap2
O08709,22.038620307560443,21.991754334370736,22.061873476756794,22.566231531499124,22.44050423118857,22.497360690796004,22.038620307560443,21.991754334370736,22.061873476756794,22.566231531499124,22.44050423118857,22.497360690796004,3.5426557129717497e-4,3.45067105179379,0.4706161115985772,11.261138721595994,3.5426557129717497e-4,2,Prdx6
O08749,20.898146694891786,21.301621225040087,21.15554708301465,21.10418409113765,21.28483539382271,21.21554958867153,20.898146694891786,21.301621225040087,21.15554708301465,21.10418409113765,21.28483539382271,21.21554958867153,0.5550346092063787,0.25567993558231994,0.08308469022845699,0.6433332525349376,0.5550346092063787,9,Dld
O08756,19.04516239578074,20.237480739480795,19.798927381020423,19.179107262029067,19.61561526971363,19.30271477608292,19.04516239578074,20.237480739480795,19.798927381020423,19.179107262029067,19.61561526971363,19.30271477608292,0.4272356157830684,0.3693325502367184,-0.32804440281877945,-0.882739232263017,0.4272356157830684,2,Hsd17b10
O08759,19.769092057054287,19.415242488034824,19.27882601839883,19.42055651552303,19.273850223648665,19.37687151146069,19.769092057054287,19.415242488034824,19.27882601839883,19.42055651552303,19.273850223648665,19.37687151146069,0.4397683938951045,0.3567759865491134,-0.13062743761851792,-0.8569708494517044,0.4397683938951045,17,Ube3a
O08788,18.96519243289007,18.970313766480285,18.89139806295711,18.8479382019491,NA,19.02853203044427,18.96519243289007,18.970313766480285,18.89139806295711,18.8479382019491,17.061109108159624,19.02853203044427,0.3729585823162627,0.428339394653063,-0.6297749739248211,-1.0021974497760984,0.3729585823162627,12,Dctn1
O08795,19.020469993559054,NA,19.42664968850808,18.92839114378315,19.159087864575664,18.942405685155432,19.020469993559054,17.01110286586656,19.42664968850808,18.92839114378315,19.159087864575664,18.942405685155432,0.5235817339444516,0.28101551297213123,0.5238873818601846,0.6980763185580224,0.5235817339444516,17,Prkcsh
O08807,23.703982124072656,23.437586491267663,23.664922909938003,24.093053207965834,24.331423242896605,24.20157415952201,23.703982124072656,23.437586491267663,23.664922909938003,24.093053207965834,24.331423242896605,24.20157415952201,0.0049274297494994726,2.3073795587526726,0.6065196950353737,5.620208346213051,0.0049274297494994726,4,Prdx4
O08810,20.033218645418607,19.535412081053583,19.065842089267075,19.389320438051566,19.92914280344112,19.342864641204432,20.033218645418607,19.535412081053583,19.065842089267075,19.389320438051566,19.92914280344112,19.342864641204432,0.9800669790222096,0.0087442430567401825,0.008951688985948891,0.026581273364250226,0.9800669790222096,17,Eftud2
O08848,19.089621166206907,18.984540844138163,18.463356734526826,19.54785097694391,19.212429887761708,18.953701980855627,19.089621166206907,18.984540844138163,18.463356734526826,19.54785097694391,19.212429887761708,18.953701980855627,0.20454382747630165,0.6892136216822482,0.3921547002297814,1.5141833243222054,0.20454382747630165,13,RO60
O08915,NA,NA,NA,19.5321047590545,19.700104392381636,19.630409339531383,17.179332653049055,17.10851616501858,16.742341628340682,19.5321047590545,19.700104392381636,19.630409339531383,5.429033425198037e-5,4.265277484493818,2.6108093481864003,18.141389732462162,5.429033425198037e-5,8,Aip
O09061,NA,19.817392796989843,19.74660288608155,19.77265608062011,19.837581739583488,20.06854738128768,15.67424613717267,19.817392796989843,19.74660288608155,19.77265608062011,19.837581739583488,20.06854738128768,0.34147543360780974,0.4666405348296964,1.4801811270824032,1.0785792310109215,0.34147543360780974,4,Psmb1
O09106,19.76682974064043,20.068809761035766,19.996865136451955,20.43644315872264,20.286697627808344,20.100210604883014,19.76682974064043,20.068809761035766,19.996865136451955,20.43644315872264,20.286697627808344,20.100210604883014,0.068291010759058,1.165636459344373,0.33028225109528364,2.478908119072385,0.068291010759058,10,Hdac1
O09131,18.42053595625778,17.690502760864558,18.258566033889934,18.122373037451176,18.03794369201816,17.98192398731734,18.42053595625778,17.690502760864558,18.258566033889934,18.122373037451176,18.03794369201816,17.98192398731734,0.7532523028286993,0.12305953193569638,-0.07578801140853031,-0.33672087989113375,0.7532523028286993,4,Gsto1
O35114,20.216082702568418,20.001820491144617,NA,19.6560791482389,19.66575574453476,19.905539784952303,20.216082702568418,20.001820491144617,17.02451899042416,19.6560791482389,19.66575574453476,19.905539784952303,0.5567730058148355,0.254321828910876,0.6616508311962548,0.6403716948588645,0.5567730058148355,8,Scarb2
O35129,20.494629052088047,21.295076095848135,21.24609109111579,19.46381569903072,19.780847301854955,19.674609526543957,20.494629052088047,21.295076095848135,21.24609109111579,19.46381569903072,19.780847301854955,19.674609526543957,0.007572476569510471,2.1207620617716736,-1.3721745705407784,-4.984620601586555,0.007572476569510471,0,Phb2
O35215,19.99727873338944,20.1156583963803,20.43186074605834,19.663950661537367,19.91585896011337,19.835640272077505,19.99727873338944,20.1156583963803,20.43186074605834,19.663950661537367,19.91585896011337,19.835640272077505,0.06547590454853425,1.1839184930902296,-0.3764493273666112,-2.5182909272649288,0.06547590454853425,2,Ddt
O35286,20.518549430579636,20.55093462407121,20.56690506402934,20.929908515313038,20.838228315257684,20.823765279789658,20.518549430579636,20.55093462407121,20.56690506402934,20.929908515313038,20.838228315257684,20.823765279789658,9.156335881660195e-4,3.0382782844907164,0.31850433056006366,8.810604784895128,9.156335881660195e-4,14,Dhx15
