proteinID,LFQ.intensity.C1,LFQ.intensity.C2,LFQ.intensity.C3,LFQ.intensity.D1,LFQ.intensity.D2,LFQ.intensity.D3,impute_LFQ.intensity.C1,impute_LFQ.intensity.C2,impute_LFQ.intensity.C3,impute_LFQ.intensity.D1,impute_LFQ.intensity.D2,impute_LFQ.intensity.D3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A432,20.52554374864473,20.407794701870408,20.94292107655408,20.58003401235149,20.331997199688875,20.327618426949204,20.52554374864473,20.407794701870408,20.94292107655408,20.58003401235149,20.331997199688875,20.327618426949204,0.30962928064212086,0.5091579762191022,-0.21220329602654786,-1.1625915380312573,0.30962928064212086,12,Cul4b
A2A6T1,20.434510137328633,21.04139713463126,20.815658478457706,20.651233923095994,19.909647021045974,20.655607585091442,20.434510137328633,21.04139713463126,20.815658478457706,20.651233923095994,19.909647021045974,20.655607585091442,0.3047466928263181,0.5160609987368951,-0.35835907372806375,-1.1761701922955115,0.3047466928263181,7,Cdr2l
A2AG50,22.080860456888267,21.78927094816279,21.98029301206033,21.714438387411214,21.312020976052338,21.840458316297894,22.080860456888267,21.78927094816279,21.98029301206033,21.714438387411214,21.312020976052338,21.840458316297894,0.14407931604118107,0.8413983618226565,-0.32783557911664474,-1.8127893796634176,0.14407931604118107,7,Map7d2
A2AGT5,21.198984512359118,21.260921830127053,21.313184194170628,21.46737270759448,21.476548452579976,21.438018181198366,21.198984512359118,21.260921830127053,21.313184194170628,21.46737270759448,21.476548452579976,21.438018181198366,0.004394865417618282,2.357054419630176,0.20294960157200492,5.799925663076987,0.004394865417618282,29,Ckap5
A2AN08,21.11025134498943,20.431044568939683,21.102262803011257,21.22057671485497,21.145258013076656,21.283196898426958,21.11025134498943,20.431044568939683,21.102262803011257,21.22057671485497,21.145258013076656,21.283196898426958,0.21647421414479215,0.6645938282786481,0.33515763647273644,1.4662111794199388,0.21647421414479215,122,Ubr4
A2AR02,21.265450228792265,21.081738275619877,21.09847678916662,NA,20.927016907308104,20.968036736393465,21.265450228792265,21.081738275619877,21.09847678916662,18.400480808873823,20.927016907308104,20.968036736393465,0.28484344868271316,0.5453937647404451,-1.0500436136677926,-1.2337185652926472,0.28484344868271316,9,Ppig
B2RQC6,22.453498730233402,22.133076973296397,22.469013744475806,22.52516137518877,22.627161578141763,22.699350471657535,22.453498730233402,22.133076973296397,22.469013744475806,22.52516137518877,22.627161578141763,22.699350471657535,0.09258385849621276,1.033464723653719,0.2653613256608196,2.2006664409357715,0.09258385849621276,45,Cad
B2RY56,21.048399065650884,21.25366977722987,21.228642569511607,21.35229348874002,21.221403034501684,NA,21.048399065650884,21.25366977722987,21.228642569511607,21.35229348874002,21.221403034501684,18.811580201459748,0.4367116192332007,0.3598052530025602,-0.7151448958969695,-0.863200160726509,0.4367116192332007,6,Rbm25
B9EJR8,19.926944542798726,19.782319995143098,20.030931109081948,19.911593869562907,20.12679016257702,19.837473948792727,19.926944542798726,19.782319995143098,20.030931109081948,19.911593869562907,20.12679016257702,19.837473948792727,0.7089987774813697,0.14935451366538605,0.045220777969628756,0.40088037268588356,0.7089987774813697,18,Dnaaf5
C0HKE6,24.186616028643343,24.70883046088876,23.908940089601423,24.413125850032763,24.532967959856006,24.142502861406232,24.186616028643343,24.70883046088876,23.908940089601423,24.413125850032763,24.532967959856006,24.142502861406232,0.735350420297452,0.13350565501801262,0.09473669738715884,0.36245591717478504,0.735350420297452,0,H2ac13
D3YXK2,20.89659552888931,20.77723925946867,20.97112812657988,20.729909460770394,NA,NA,20.89659552888931,20.77723925946867,20.97112812657988,20.729909460770394,18.294331027324905,19.52794282598399,0.12522464995199997,0.9023101736462523,-1.3642598669528567,-1.9340928963101427,0.12522464995199997,9,Safb
E9PVA8,21.459089363837805,21.040460970956584,21.37337072395304,21.416273868576955,21.503245379295105,21.49638569917892,21.459089363837805,21.040460970956584,21.37337072395304,21.416273868576955,21.503245379295105,21.49638569917892,0.23832358188133285,0.6228329825204055,0.18099462943451883,1.3848761363830304,0.23832358188133285,49,Gcn1
E9PZJ8,20.654908689575343,20.327179817827975,20.629698126778067,21.047733677279673,20.809705335951122,20.858251207939364,20.654908689575343,20.327179817827975,20.629698126778067,21.047733677279673,20.809705335951122,20.858251207939364,0.045155022911226084,1.3452939330293996,0.3679678623295928,2.8768718521228775,0.045155022911226084,28,Ascc3
E9Q7G0,21.348894530993633,21.33019256604192,21.231633706102937,21.003262602593857,20.928897111637543,20.95510781891292,21.348894530993633,21.33019256604192,21.231633706102937,21.003262602593857,20.928897111637543,20.95510781891292,0.00129457069780271,2.8878742273247404,-0.341151089998057,-8.04724186351091,0.00129457069780271,19,Numa1
E9QAT4,20.812371620962367,20.178402257234715,20.628274648575864,20.799306921086863,20.91575686216627,20.781807924490085,20.812371620962367,20.178402257234715,20.628274648575864,20.799306921086863,20.91575686216627,20.781807924490085,0.20395021265459698,0.6904758375169289,0.2926077269900915,1.5166439052761904,0.20395021265459698,23,Sec16a
F6ZDS4,21.183378537495713,21.117244856590847,21.0803074820617,20.93459505221407,21.15171275751795,20.6714166720235,21.183378537495713,21.117244856590847,21.0803074820617,20.93459505221407,21.15171275751795,20.6714166720235,0.2175737588764362,0.6623934851796562,-0.20773546479757954,-1.4619252976581283,0.2175737588764362,7,Tpr
O08528,NA,NA,21.720546547445217,21.79879293663298,21.809469838759714,21.965185385572987,18.449614918738195,18.856806449294318,21.720546547445217,21.79879293663298,21.809469838759714,21.965185385572987,0.10163905915913983,0.9929393637307303,2.1821600818293163,2.1174018667555456,0.10163905915913983,26,Hk2
O08547,22.357538044592932,22.632052677398992,22.45319727381672,22.361586156051835,22.730324183238793,22.52070883083444,22.357538044592932,22.632052677398992,22.45319727381672,22.361586156051835,22.730324183238793,22.52070883083444,0.6937513111799134,0.1587961830582215,0.056610391438809415,0.4234384469854985,0.6937513111799134,3,Sec22b
O08553,23.187854639909265,23.439616847892175,23.30465991679365,23.057731994607618,22.972127897050342,23.122610012310453,23.187854639909265,23.439616847892175,23.30465991679365,23.057731994607618,22.972127897050342,23.122610012310453,0.03747917247708365,1.4262100067011152,-0.2598871668755578,-3.0648916039023604,0.03747917247708365,7,Dpysl2
O08582,22.82543553795606,22.79265051119906,22.84905761126879,23.008965401942994,22.97929888587987,22.978443738279896,22.82543553795606,22.79265051119906,22.84905761126879,23.008965401942994,22.97929888587987,22.978443738279896,9.70212958133273e-4,3.013132929247994,0.1665214552262846,8.6785484199209,9.70212958133273e-4,12,Gtpbp1
O08585,21.44253048860155,21.777480076557705,21.18821695920485,21.40176700887984,21.618898057784254,21.39963049310491,21.44253048860155,21.777480076557705,21.18821695920485,21.40176700887984,21.618898057784254,21.39963049310491,0.9837366311639513,0.007121156590873107,0.00402267846829929,0.021686616397861392,0.9837366311639513,1,Clta
O08599,21.809273561731143,21.4074316749157,21.7373562858432,21.636750281670324,21.494677876733665,NA,21.809273561731143,21.4074316749157,21.7373562858432,21.636750281670324,21.494677876733665,18.885601924556095,0.3391835722261504,0.4695651902133882,-0.9790104798433212,-1.0843817842155372,0.3391835722261504,7,Stxbp1
O08663,21.732603028246537,21.935242759074924,21.926184496223474,21.794595138603135,21.612117978043056,22.000720771193595,21.732603028246537,21.935242759074924,21.926184496223474,21.794595138603135,21.612117978043056,22.000720771193595,0.6579278486828699,0.18182173045442243,-0.06219879856838162,-0.4774984731133398,0.6579278486828699,15,Metap2
O08709,24.47784570141425,24.722340607186172,24.659597902423396,24.53635157353409,24.434217414934643,24.541618941748258,24.47784570141425,24.722340607186172,24.659597902423396,24.53635157353409,24.434217414934643,24.541618941748258,0.22686635781591447,0.6442299011982,-0.11586542693560986,-1.4265501592148384,0.22686635781591447,2,Prdx6
O08749,23.117910650004607,23.250116801832835,23.346786394213012,23.349893468398694,23.559992236471174,23.44745760110936,23.117910650004607,23.250116801832835,23.346786394213012,23.349893468398694,23.559992236471174,23.44745760110936,0.07582993894673944,1.1201592936785414,0.21417648664292344,2.3819298866587206,0.07582993894673944,9,Dld
O08756,21.57528625372661,21.9946227567837,21.786721101247423,21.44288479124288,21.866575635908024,21.573576926581296,21.57528625372661,21.9946227567837,21.786721101247423,21.44288479124288,21.866575635908024,21.573576926581296,0.4160670075593028,0.38083672064785523,-0.157864252675175,-0.9062308312479328,0.4160670075593028,2,Hsd17b10
O08759,21.001751783201236,21.375069136381867,21.151403093209545,21.30078376344991,21.281669728107964,21.293785946811344,21.001751783201236,21.375069136381867,21.151403093209545,21.30078376344991,21.281669728107964,21.293785946811344,0.3456729527625827,0.4613346005718575,0.11600514185885658,1.0680421793729926,0.3456729527625827,17,Ube3a
O08788,21.14413790817498,21.012362651282416,21.069727714553643,21.109358824829616,21.02648021634964,21.356221974222624,21.14413790817498,21.012362651282416,21.069727714553643,21.109358824829616,21.02648021634964,21.356221974222624,0.45071127772082414,0.3461015748541507,0.08861091379694486,0.8349530330060866,0.45071127772082414,12,Dctn1
O08795,21.71145860866422,21.146998671759178,21.271048054796495,21.18143861614667,21.277135264654355,21.044135267459968,21.71145860866422,21.146998671759178,21.271048054796495,21.18143861614667,21.277135264654355,21.044135267459968,0.31988527794895166,0.49500574695140026,-0.2089320623196329,-1.1347038943413166,0.31988527794895166,17,Prkcsh
O08807,26.576866733272805,26.62463729373146,26.39311349915444,26.465209781102452,26.644851969554914,26.508287205131563,26.576866733272805,26.62463729373146,26.39311349915444,26.465209781102452,26.644851969554914,26.508287205131563,0.9334131203298135,0.029926098836772927,0.007910476543408151,0.08892871864954029,0.9334131203298135,4,Prdx4
O08810,21.367623775352726,21.538673953082668,21.648603347321487,21.49570281278241,21.94717318077929,21.395975454853783,21.367623775352726,21.538673953082668,21.648603347321487,21.49570281278241,21.94717318077929,21.395975454853783,0.6415327777464237,0.19278114937364127,0.0946501242195339,0.502790686003524,0.6415327777464237,17,Eftud2
O08848,21.45828845057154,21.355791976815205,21.479166460836698,21.619435507824328,21.3944061707532,21.192316897720623,21.45828845057154,21.355791976815205,21.479166460836698,21.619435507824328,21.3944061707532,21.192316897720623,0.8331268438576297,0.07928887207020317,-0.029029437308430772,-0.2248343511263782,0.8331268438576297,13,RO60
O08915,22.116578755776334,22.028403877519374,21.738964710651246,21.58371084146084,21.804357937330412,21.76898709942877,22.116578755776334,22.028403877519374,21.738964710651246,21.58371084146084,21.804357937330412,21.76898709942877,0.14258322851616367,0.8459315557691905,-0.2422971552423121,-1.8217724330262721,0.14258322851616367,8,Aip
O09061,22.38981931796075,22.249914336585533,22.15992552352522,21.87413937385918,21.81569756264439,22.160879615703386,22.38981931796075,22.249914336585533,22.15992552352522,21.87413937385918,21.81569756264439,22.160879615703386,0.06588489332474007,1.1812141528991755,-0.3163142086215167,-2.512450507608757,0.06588489332474007,4,Psmb1
O09106,22.474470425137564,22.616589225178437,22.563022130239364,22.35890655825162,22.42419089789862,22.24910419134053,22.474470425137564,22.616589225178437,22.563022130239364,22.35890655825162,22.42419089789862,22.24910419134053,0.03446806572715638,1.462583087569504,-0.20729337768820244,-3.1513859642712223,0.03446806572715638,10,Hdac1
O09131,NA,19.929590721983164,19.722207172572602,20.241559608584243,20.076659046126593,20.106102824019075,18.344474184413055,19.929590721983164,19.722207172572602,20.241559608584243,20.076659046126593,20.106102824019075,0.18082954018658864,0.7427306220238572,0.8093497999203656,1.6186711415235788,0.18082954018658864,4,Gsto1
