proteinID,LFQ.intensity.HE1,LFQ.intensity.HE2,LFQ.intensity.HE3,LFQ.intensity.HE4,LFQ.intensity.PE1,LFQ.intensity.PE2,LFQ.intensity.PE3,LFQ.intensity.PE4,impute_LFQ.intensity.HE1,impute_LFQ.intensity.HE2,impute_LFQ.intensity.HE3,impute_LFQ.intensity.HE4,impute_LFQ.intensity.PE1,impute_LFQ.intensity.PE2,impute_LFQ.intensity.PE3,impute_LFQ.intensity.PE4,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A0A0B4J2D5,21.349272588657424,21.16539528911957,20.6281856345366,22.123004883929497,20.44606960559846,21.39534794603637,20.895116675763163,20.578744905131913,21.349272588657424,21.16539528911957,20.6281856345366,22.123004883929497,20.44606960559846,21.39534794603637,20.895116675763163,20.578744905131913,0.2405643289309023,0.6187687697517033,-0.4876448159282951,-1.3023099818394288,0.2405643289309023,6,GATD3B
A2A288,18.18654953650483,20.279347596026437,18.475994604526328,NA,19.600867515768655,NA,18.3552220327702,18.60581225794833,18.18654953650483,20.279347596026437,18.475994604526328,16.638461794417722,19.600867515768655,16.69153955100003,18.3552220327702,18.60581225794833,0.9349316552602172,0.029220135467819878,-0.0817280434970229,-0.08512467378412951,0.9349316552602172,8,ZC3H12D
A6NC98,18.393558047040607,19.008237110852622,18.6701375490586,NA,19.296633954920566,19.024317254863696,NA,NA,18.393558047040607,19.008237110852622,18.6701375490586,17.07453969353911,19.296633954920566,19.024317254863696,17.123186629871604,16.580084161002414,0.7375299411585854,0.1322203441416532,-0.2805625999581629,-0.3510761731626696,0.7375299411585854,8,CCDC88B
B0I1T2,21.90899504487652,21.300281053052505,21.68007273904168,21.210385972398896,21.236079611134127,21.593090165176935,21.611892926168192,22.337506486650494,21.90899504487652,21.300281053052505,21.68007273904168,21.210385972398896,21.236079611134127,21.593090165176935,21.611892926168192,22.337506486650494,0.5707799458360124,0.24353129408184468,0.1697085949400332,0.5994815825016541,0.5707799458360124,18,MYO1G
E9PAV3,21.00730655171825,21.511327996736718,21.444402246372842,21.729536108590377,21.463885528656938,21.292045222798755,21.209672296875617,21.00730655171825,21.00730655171825,21.511327996736718,21.444402246372842,21.729536108590377,21.463885528656938,21.292045222798755,21.209672296875617,21.00730655171825,0.35270446549548967,0.45258904181316434,-0.17991582584215493,-1.0072260206432913,0.35270446549548967,12,"NACA"
O00139,19.04406854552489,18.242699628430913,NA,NA,NA,19.19714948763926,19.048226094194543,19.64092979390364,19.04406854552489,18.242699628430913,16.52586232439936,17.83442869835275,17.87535469400717,19.19714948763926,19.048226094194543,19.64092979390364,0.16288146869687328,0.7881283233065479,1.0286502182591732,1.5902505386197117,0.16288146869687328,12,KIF2A
O00148,22.477783954103536,22.104759978993435,22.102423008117402,21.98770118503149,21.92295889457231,22.17359174699613,22.416402739316474,22.39052795594227,22.477783954103536,22.104759978993435,22.102423008117402,21.98770118503149,21.92295889457231,22.17359174699613,22.416402739316474,22.39052795594227,0.7253442950756317,0.13945580038255553,0.0577033026453293,0.36822952438243545,0.7253442950756317,9,DDX39A
O00151,21.779605550184787,21.706450487946405,21.981547772031966,22.260232726882226,21.531933484275175,21.84789233731363,21.685686428876224,21.39267798438943,21.779605550184787,21.706450487946405,21.981547772031966,22.260232726882226,21.531933484275175,21.84789233731363,21.685686428876224,21.39267798438943,0.09140885638120566,1.0390117244942538,-0.3174115755477338,-2.0079889058962834,0.09140885638120566,8,PDLIM1
O00154,NA,19.928911565254875,19.5868837575974,19.116013915120615,19.91406390052718,19.525409929462796,19.547662736309924,20.115277386199587,17.153058995876563,19.928911565254875,19.5868837575974,19.116013915120615,19.91406390052718,19.525409929462796,19.547662736309924,20.115277386199587,0.24066870801135723,0.6185803734617618,0.8293864296625095,1.3019841417105105,0.24066870801135723,12,ACOT7
O00161,20.325533844984417,NA,20.350028406905164,19.604165892923803,19.17018425154826,20.088871035643148,19.48183884041074,19.789963409321672,20.325533844984417,16.534023124158367,20.350028406905164,19.604165892923803,19.17018425154826,20.088871035643148,19.48183884041074,19.789963409321672,0.6598949289670983,0.1805252090072799,0.42927656698801897,0.4626849806755292,0.6598949289670983,6,SNAP23
