proteinID,LFQ.intensity.HD1,LFQ.intensity.HD2,LFQ.intensity.HD3,LFQ.intensity.HD4,LFQ.intensity.HE1,LFQ.intensity.HE2,LFQ.intensity.HE3,LFQ.intensity.HE4,impute_LFQ.intensity.HD1,impute_LFQ.intensity.HD2,impute_LFQ.intensity.HD3,impute_LFQ.intensity.HD4,impute_LFQ.intensity.HE1,impute_LFQ.intensity.HE2,impute_LFQ.intensity.HE3,impute_LFQ.intensity.HE4,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A288,NA,NA,NA,NA,17.732578187529207,19.864672822175415,18.076189291401363,NA,16.92927371800032,17.336301912702496,16.8241751585495,18.045570257708068,17.732578187529207,19.864672822175415,18.076189291401363,16.677165905226925,0.30597545523295716,0.5143134103956211,0.8038212898431318,1.1188783234509427,0.30597545523295716,8,ZC3H12D
A6NC98,NA,NA,NA,NA,18.0736290510828,19.143328402336294,18.463157139191512,NA,17.409590584162533,16.831792319611612,17.488937135308944,17.614998073151774,18.0736290510828,19.143328402336294,18.463157139191512,17.11239227543935,0.10899926847883436,0.9625764167077405,0.8617971889537728,1.8810299305159188,0.10899926847883436,8,CCDC88B
A6NHR9,20.246323091605294,NA,21.12003279640171,20.736695900163244,20.254650358827906,NA,NA,NA,20.246323091605294,17.533329190655394,21.12003279640171,20.736695900163244,20.254650358827906,16.56478630808918,17.870797445698425,17.190758253207996,0.14121467385764275,0.8501201726589457,-1.938847153250535,-1.6939467839357993,0.14121467385764275,30,SMCHD1
B0I1T2,21.48517482601005,21.411833691378636,22.544062617473468,21.719251770169492,21.213415160900784,20.657440576586993,20.950772303297267,20.345054337228934,21.48517482601005,21.411833691378636,22.544062617473468,21.719251770169492,21.213415160900784,20.657440576586993,20.950772303297267,20.345054337228934,0.02063099798189734,1.6854797634205454,-0.9984101317544187,-3.118243811827698,0.02063099798189734,18,MYO1G
E9PAV3,20.376447625739733,20.535639892993036,20.10546352988849,20.73842876826752,21.250145723120255,21.717202813779597,21.73268582754872,21.52993377464782,20.376447625739733,20.535639892993036,20.10546352988849,20.73842876826752,21.250145723120255,21.717202813779597,21.73268582754872,21.52993377464782,6.810098859113556e-4,3.166846583585618,1.1184970805519043,6.408192429852258,6.810098859113556e-4,12,"NACA"
O00151,21.19730549553779,21.305355963046786,21.342669358409587,21.675514321205718,21.992100229752502,21.974913074201343,22.23879306260905,22.5094203244851,21.19730549553779,21.305355963046786,21.342669358409587,21.675514321205718,21.992100229752502,21.974913074201343,22.23879306260905,22.5094203244851,0.0026744820537102382,2.572760311958818,0.7985953882120285,4.913411619376546,0.0026744820537102382,8,PDLIM1
O00161,20.19279847831122,20.013180892182064,20.558708440289724,20.234092347059818,20.39037051091319,NA,20.368263456877052,19.765389707114757,20.19279847831122,20.013180892182064,20.558708440289724,20.234092347059818,20.39037051091319,16.57293117226207,20.368263456877052,19.765389707114757,0.3293624380940414,0.48232593114880973,-0.9754563276689403,-1.0613742814752685,0.3293624380940414,6,SNAP23
O00170,21.487924407289857,21.16680545841399,21.614096922200936,21.51955755293523,21.96954812966269,22.28288593926186,22.878411697083767,21.969161644864407,21.487924407289857,21.16680545841399,21.614096922200936,21.51955755293523,21.96954812966269,22.28288593926186,22.878411697083767,21.969161644864407,0.012540466988803596,1.901686290707513,0.8279057675081773,3.518557994504668,0.012540466988803596,8,AIP
O00182,19.54577897786078,19.905128417496567,21.056889043038588,20.868912961474408,19.83875152150318,19.40305780630685,20.455933193204043,20.321685922990504,19.54577897786078,19.905128417496567,21.056889043038588,20.868912961474408,19.83875152150318,19.40305780630685,20.455933193204043,20.321685922990504,0.46839503352348966,0.3293877184775096,-0.3393202389664438,-0.7738663441713205,0.46839503352348966,6,LGALS9
O00193,NA,NA,NA,NA,NA,19.66499233118699,19.428859022846265,20.96317549590964,17.09059101453567,18.0036163935466,17.439905757702967,16.931893072625222,17.275601789586588,19.66499233118699,19.428859022846265,20.96317549590964,0.04929664909149376,1.3071826006118856,1.9666556002797542,2.4573466797967303,0.04929664909149376,1,SMAP
O00203,NA,18.403619566989224,19.901023014459913,18.725139886994338,18.53924212967323,18.160442658245984,NA,NA,16.13126949686131,18.403619566989224,19.901023014459913,18.725139886994338,18.53924212967323,18.160442658245984,17.410396000692906,17.323069246058104,0.6261085754050466,0.20335034792293755,-0.4319754826586397,-0.5132684665882564,0.6261085754050466,10,AP3B1
O00231,20.96197527975022,21.061181307454643,21.556090627301035,20.960844751694808,21.204845730685715,20.911374431576192,21.167479400265073,20.651146314470438,20.96197527975022,21.061181307454643,21.556090627301035,20.960844751694808,21.204845730685715,20.911374431576192,21.167479400265073,20.651146314470438,0.4602398507699593,0.33701577979994307,-0.1513115223008228,-0.78882178253036,0.4602398507699593,5,PSMD11
O00232,21.553233665389115,NA,21.821236794406133,21.376606597480457,20.812449966561825,20.985305517365394,21.151588899770545,20.350460125331633,21.553233665389115,17.809245925849833,21.821236794406133,21.376606597480457,20.812449966561825,20.985305517365394,21.151588899770545,20.350460125331633,0.8541880010962131,0.06844653346445537,0.18487038147596735,0.1918497451666293,0.8541880010962131,7,PSMD12
O00233,NA,NA,NA,NA,NA,18.378523476778508,18.439449451571733,19.18303923950711,17.221454874649176,17.23589678746809,17.718256032582396,17.65664889155722,16.84965897164689,18.378523476778508,18.439449451571733,19.18303923950711,0.1876063913788559,0.726752370150524,0.754603638311842,1.4868664804516407,0.1876063913788559,3,PSMD9
